434828787793276928	Neutral	RT @heisec: Apples iCloud verschickt und empfängt Mail im Klartext http://t.co/sOy42BVAGv #iCloud #NSA
434830900472590336	Neutral	RT @BILD_Hannover: Abstiegsangst! - Kind will mit Korkut sprechen http://t.co/2YgNVHb5M1
434831787362377728	Neutral	Respektvolle Unternehmenskultur macht den Unterschied - Heute:&amp;nbsp;Bettina... http://t.co/TJG2OfO1Ma
434831966773710848	Neutral	Phänomen #Raab! #SdR
434832130716479488	Neutral	Meine Tochter versucht schon wieder, mich zu verwirren. http://t.co/aaZrPX5vmv
434832670137532416	Neutral	Michael hat schon so geguckt nach dem Motto: "Scheisse" #BlamierenoderKassieren #SdR @ProSieben
434838000254849024	Neutral	RT @MichaelJur: Ach übrigens, Frauen können es hören, wenn du am Handy mit den Augen rollst!
434838176172351488	Neutral	RT @heiseopen: Linux in München wird zum Wahlkampfthema http://t.co/k8ycRx5sAX #öffentlicheVerwaltung #Linux
434838527927271424	Neutral	http://t.co/RWsZO7jywJ "Сток-фотография:: Hannover Rathaus And Frozen Maschteich At Winter Night. 360 Degree Panorama." на Shutterstock
434839128589758467	Neutral	@dermanu1979 genau. dann gibts dosenfutter von Maggi
434839269132472320	Neutral	RT @t3n: Content-Marketing: Der Starter-Guide für deine erste Kampagne http://t.co/dk0cKMdIrV
434840901123203073	Neutral	Cleithracara maronii: Hallo,  hier mal ein paar Fotos von Cleithracara maronii (Maronibuntbarsch).  So weiß de... http://t.co/GrE6hAAJjL
434840901756547072	Neutral	Abstimmung Bild des Monats Februar 2014: Hallo,  in diesem Monat stehen 5 Bilder zur Wahl, jeder "Registrierte... http://t.co/KCxn69xFF5
434841002742804480	Neutral	Aulonocara - Buntbarschinfo.de http://t.co/Uk7CEtVuxv
434841050100670466	Neutral	Abstimmung Bild des Monats Februar 2014 - Buntbarschinfo.de http://t.co/DVSL4gKQ3f
434845541332418560	Neutral	Ich stehe mit einem Müllsack bekleidet auf der Straße, telefoniere und die Polizei fragt mich ob bei mir alles ok ist...
434848391303282688	Neutral	Aber nicht zu mir......... http://t.co/mBGZ91YKFO
434850330049019904	Neutral	Galaxy S4 kleine Kratzer am ramen 350 € bei Interesse pn.
434852428975198208	Neutral	@Tobias_Reinwald Ja, ich hab nen Chauffeur… http://t.co/KK8Zb7Yzjn
434858863867617280	Neutral	Google-Wetter für Sonntag, 16.02.14: 22,9°C - Sonne mit Wolken
434860666407911424	Neutral	RT @heisec: Crowdfunding-Plattform Kickstarter gehackt http://t.co/MFRMVosaMx #Crowdfunding
434862078843953152	Neutral	Authentizität zahlt sich aus - Das Weblog als Dreh- und Angelpunkt digitaler Unternehmenskommunikation - acquisa... http://t.co/b68iG4ccDh
434865793621569536	Neutral	Ich habe ein neues Foto auf Facebook gepostet http://t.co/n5cenMQSv9
434865797606154240	Neutral	Ich habe ein neues Foto auf Facebook gepostet http://t.co/Cu1wg2TcoK
434867513802117120	Neutral	Auf einer Skala von 1 - 10 bin ich bei einer 3,5 würde ich sagen wenn es um den Status des betrunkenseins geht!
434891449868754944	Neutral	RT @wuttigmedia: Verschiedene Blickwinkel für viele Kanäle - eine effiziente #Strategie für guten #Content? http://t.co/3DUu1sOyxA
434907641601851393	Neutral	Ich habe ein neues Foto auf Facebook gepostet http://t.co/u3ao8stbEP
434910377517002753	Neutral	(Er favte sicher nur das „Carlos“) #vielzufrühnonmention
