269437682537594881	positive
206683711268339713	negative
262030204791296000	positive
267635216603045889	positive
251921132263985152	negative
221783666181939200	positive
263341688460808192	positive
264222962700398592	negative
261351584410247168	positive
262428458729230336	positive
273949797940092928	positive
249604801413918721	neutral
226485082968432642	negative
242855843341680640	positive
263358562531676161	positive
243900552650575872	positive
281886589859291137	negative
275360562010009600	positive
262487722650918913	positive
264187129524006912	negative
261184948290076672	positive
227303214071029761	positive
264148344484548609	positive
278505062047813632	positive
177621995675074560	negative
262228914116648960	positive
231669179206479872	positive
225473717977890816	positive
235752258401341440	positive
269195209592684544	neutral
263876102865440768	negative
262971427320365056	negative
242093943746097152	negative
229549977087639552	negative
255742935377780736	negative
239490797102321664	positive
264824485163696129	positive
211193927389290497	positive
196380681486606337	negative
235514364692676609	positive
252866813094948864	negative
258611550464643072	positive
265487378288898048	negative
285372904827412480	negative
262343145843466240	positive
262795768266629120	negative
281988787381350401	positive
235431568754225153	positive
260142958182031360	positive
208144535186964482	positive
256347985028468736	positive
212522214073962497	positive
263129221768044545	positive
201510970047205376	neutral
258609617200885760	negative
250688600952422401	positive
263968543425560577	negative
263772250409426944	negative
236210934643818496	positive
252158038557999105	negative
263433274725105664	positive
223161874986958849	positive
223954400954159104	positive
227162226841251840	negative
211113280478003201	positive
216681277691142145	negative
254049853036978177	negative
260890961096347649	positive
269369164194529280	negative
192349690921103360	positive
260824444103192577	negative
285115914263871488	positive
232772482099183617	positive
236913676190371840	positive
262650761152983041	positive
260602083600920576	positive
264081752442691584	positive
255251955709005824	positive
200661141347774465	positive
253151259312394240	positive
220651109952393216	negative
264153517382569985	neutral
264066347426783234	positive
273120398638448641	negative
253339200852746241	positive
261570711498399744	positive
262945465883049984	negative
261026742016303104	positive
260570888821415936	positive
243266733866115072	negative
238776146400006146	positive
254065708265242628	negative
238787902287540224	positive
264072704188104704	negative
254728242337050624	positive
228405182130712576	negative
228088593472704512	positive
264014682241781760	positive
235415992908513280	positive
256514267149385729	positive
209175728653209600	positive
257141139294003201	positive
279037052304113664	positive
271246225527951360	positive
259967532331593728	negative
261709334990426112	positive
280513332962795521	positive
249636896429457408	negative
245803216527310848	positive
263388693371424768	positive
178110692853952512	positive
259280987089932288	positive
227911205136773120	positive
207985903501713409	negative
257770063904534528	positive
282195564756627456	positive
